Timestamp,Plate Text
2024-05-18 11:50:11,KAOsL1Z14
2024-05-18 11:50:11,KOsAL4744
2024-05-18 11:50:11,MOSILIZL4
2024-05-18 11:50:11,LObIL1714
2024-05-18 11:50:11,WAliL
2024-05-18 11:50:11,WBk7i4
2024-05-18 11:50:12,VAL
2024-05-18 11:50:12,"""ilm 4"
2024-05-18 11:50:12,""""
2024-05-18 11:50:12,3
2024-05-18 11:50:12,"""al"
2024-05-18 11:50:12,J
2024-05-18 11:50:12,"""um"
2024-05-18 11:50:13,Lea
2024-05-18 11:50:13,
2024-05-18 11:50:14,60749372
2024-05-18 11:50:14,(0z019372
2024-05-18 11:50:15,[107410372]
2024-05-18 11:50:15,[40z449372
2024-05-18 11:50:15,00z49372
2024-05-18 11:50:15,[0749372
2024-05-18 11:50:15,[074972
2024-05-18 11:50:15,0o4972
2024-05-18 11:50:15,04872
2024-05-18 11:50:15,4074972
2024-05-18 11:50:16,04S72
2024-05-18 11:50:16,[oz4972]
2024-05-18 11:50:16,[0z49372
2024-05-18 11:50:16,71492
2024-05-18 11:50:16,71862
2024-05-18 11:50:16,IJLEn2
2024-05-18 11:50:16,MJEZ
2024-05-18 11:50:17,CE
2024-05-18 11:50:18,udhil
2024-05-18 11:50:18,GmmwI
